1;;"AGR";"SPSTD";;3;5;;
2;;"AL";"SPSTD";;1;4;;
3;;"BG";"SPSTD";;4;3;;
4;;"BIE";"SPSTD";;4;3;;
5;;"BOH";"SPSTD";;5;2;;
6;;"COU";"SPSTD";;4;4;;
7;;"EM";"SPSTD";;3;5;;
8;;"FI";"SPSTD";;3;5;;
9;;"GA";"SPSTD";;5;5;;
10;;"MW";"SPSTD";;5;3;;
11;;"GOE";"SPSTD";;5;4;;
12;;"GR";"SPSTD";;2;4;;
13;;"GW";"SPSTD";;5;4;;
14;;"HEI";"SPSTD";;5;4;;
15;;"HER";"SPSTD";;2;4;;
16;;"HIL";"SPSTD";;3;4;;
17;;"HOE";"SPSTD";;1;3;;
18;;"JAE";"SPSTD";;4;4;;
19;;"KER";"SPSTD";;3;5;;
21;;"KR";"SPSTD";;4;3;;
23;;"KRM";"SPSTD";;2;3;;
24;;"KUE";"SPSTD";;5;3;;
25;;"LA";"SPSTD";;4;5;;
26;;"LE";"SPSTD";;1;2;;
27;;"LF";"SPSTD";;1;5;;
28;;"LIN";"SPSTD";;3;3;;
29;;"LR";"SPSTD";;4;3;;
30;;"MAR";"SPSTD";;1;5;;
31;;"ME";"SPSTD";;5;4;;
32;;"MOL";"SPSTD";;2;5;;
33;;"MOS";"SPSTD";;4;3;;
34;;"NIK";"SPSTD";;1;3;;
35;;"PET";"SPSTD";;3;4;;
36;;"PLU";"SPSTD";;4;6;;
37;;"PRF";"SPSTD";;5;5;;
38;;"REN";"SPSTD";;1;3;;
39;;"RI";"SPSTD";;1;4;;
40;;"NTM";"SPSTD";;1;3;;
41;;"RM";"SPSTD";;3;2;;
42;;"LAB";"SPSTD";;1;3;;
43;;"SHZ";"SPSTD";;3;5;;
45;;"SLT";"SPSTD";;3;5;;
46;;"SN";"SPSTD";;4;3;;
47;;"SU";"SPSTD";;4;4;;
49;;"VG";"SPSTD";;5;5;;
50;;"VZ";"SPSTD";;1;2;;
51;;"ZI";"SPSTD";;4;4;;
52;;"LNK";"SPSTD";;4;4;;
53;;"AUG";"SPSTD";;4;5;;
54;;"MN";"SPSTD";;1;4;;
55;;"AGR";"VTR";;4;3;;
56;;"AL";"VTR";;4;6;;
57;;"BG";"VTR";;2;4;;
58;;"BIE";"VTR";;5;6;;
59;;"BOH";"VTR";;4;5;;
60;;"COU";"VTR";;5;5;;
63;;"FI";"VTR";;4;4;;
64;;"GA";"VTR";;1;4;;
65;;"GB";"VTR";;5;5;;
66;;"MW";"VTR";;3;4;;
67;;"GOE";"VTR";;5;3;;
68;;"GR";"VTR";;5;2;;
69;;"GW";"VTR";;1;5;;
70;;"HEI";"VTR";;5;6;;
71;;"HER";"VTR";;3;4;;
72;;"HIL";"VTR";;4;3;;
73;;"HOE";"VTR";;2;5;;
74;;"JAE";"VTR";;3;6;;
75;;"KER";"VTR";;3;6;;
76;;"KOE";"VTR";;3;2;;
78;;"KRM";"VTR";;5;4;;
79;;"KUE";"VTR";;2;3;;
80;;"LA";"VTR";;1;4;;
81;;"LE";"VTR";;4;2;;
82;;"LF";"VTR";;4;4;;
83;;"LIN";"VTR";;3;4;;
84;;"LR";"VTR";;2;4;;
85;;"MAR";"VTR";;5;4;;
87;;"MOL";"VTR";;3;5;;
88;;"MOS";"VTR";;2;3;;
89;;"NIK";"VTR";;1;4;;
90;;"PA";"SPSTD";;4;3;;
91;;"PET";"VTR";;3;5;;
92;;"PLU";"VTR";;5;2;;
93;;"PRF";"VTR";;4;6;;
94;;"REN";"VTR";;3;3;;
95;;"RI";"VTR";;1;3;;
97;;"RM";"VTR";;3;3;;
99;;"SHZ";"VTR";;4;3;;
100;;"SLT";"VTR";;5;6;;
101;;"SN";"VTR";;1;2;;
102;;"SU";"VTR";;4;5;;
104;;"VZ";"VTR";;5;2;;
105;;"ZI";"VTR";;1;3;;
106;;"LNK";"VTR";;4;5;;
108;"7A";"VZ";"AG-Eine-Welt";"B04";3;7;;
108;"7B";"VZ";"AG-Eine-Welt";"B04";3;7;;
108;"7C";"VZ";"AG-Eine-Welt";"B04";3;7;;
108;"7D";"VZ";"AG-Eine-Welt";"B04";3;7;;
108;"8A";"VZ";"AG-Eine-Welt";"B04";3;7;;
108;"8B";"VZ";"AG-Eine-Welt";"B04";3;7;;
108;"8C";"VZ";"AG-Eine-Welt";"B04";3;7;;
108;"8D";"VZ";"AG-Eine-Welt";"B04";3;7;;
108;"9A";"VZ";"AG-Eine-Welt";"B04";3;7;;
108;"9B";"VZ";"AG-Eine-Welt";"B04";3;7;;
108;"9C";"VZ";"AG-Eine-Welt";"B04";3;7;;
108;"9D";"VZ";"AG-Eine-Welt";"B04";3;7;;
109;;"AUG";"VTR";;1;5;;
110;;"MN";"VTR";;3;2;;
111;;"FAJ";"VTR";;1;2;;
112;;"KR";"VTR";;1;6;;
113;;"KRO";"VTR";;2;2;;
114;;"SCH";"VTR";;4;4;;
115;;"SCH";"SPSTD";;3;5;;
116;;"FAJ";"SPSTD";;1;4;;
117;;"KRO";"SPSTD";;5;3;;
118;;"RCH";"SPSTD";;4;6;;
124;;"GNC";"SPSTD";;5;3;;
125;"9A";"NIK";"ER";"A32";1;5;;
125;"9A";"NIK";"ER";"A25";5;5;;
125;"9B";"NIK";"ER";"A32";1;5;;
125;"9B";"NIK";"ER";"A25";5;5;;
125;"9D";"NIK";"ER";"A32";1;5;;
125;"9D";"NIK";"ER";"A25";5;5;;
125;"9C";"NIK";"ER";"A32";1;5;;
125;"9C";"NIK";"ER";"A25";5;5;;
125;"9A";"ME";"PP";"B02";1;5;;
125;"9A";"ME";"PP";"B02";5;5;;
125;"9C";"ME";"PP";"B02";1;5;;
125;"9C";"ME";"PP";"B02";5;5;;
125;"9B";"RI";"PP";"B01";1;5;;
125;"9B";"RI";"PP";"B01";5;5;;
125;"9D";"RI";"PP";"B01";1;5;;
125;"9D";"RI";"PP";"B01";5;5;;
125;"9A";"SU";"KR";"B05";1;5;;
125;"9A";"SU";"KR";"B05";5;5;;
125;"9C";"SU";"KR";"B05";1;5;;
125;"9C";"SU";"KR";"B05";5;5;;
125;"9B";"GOE";"KR";"B07";1;5;;
125;"9B";"GOE";"KR";"B07";5;5;;
125;"9D";"GOE";"KR";"B07";1;5;;
125;"9D";"GOE";"KR";"B07";5;5;;
126;"9D";"PLU";"BI";"B01";1;2;;
126;"9D";"PLU";"BI";"B01";2;3;;
995;"6A";;"D";"A18";4;4;;
995;"6A";;"D";"A18";5;3;;
127;"6A";"GR";"D";"A18";2;1;;
127;"6A";"GR";"D";"A18";2;2;;
128;"6A";"REN";"E5";"A18";1;6;;
128;"6A";"REN";"E5";"A18";3;4;;
128;"6A";"REN";"E5";"A18";4;5;;
128;"6A";"REN";"E5";"A18";4;6;;
129;"6A";"MAR";"KU";"A18";1;3;;
129;"6A";"MAR";"KU";"A18";1;4;;
954;"6A";"KUE";"MU";"HA6";4;3;;
954;"6A";"KUE";"MU";"D11";5;6;;
954;"6A";"MEL";"MU";"HA6";4;3;;
954;"6A";"MEL";"MU";"D11";5;6;;
997;"6A";;"GE";"A18";5;4;;
131;"6A";"GR";"GE";"A18";1;2;;
132;"6A";"LR";"BI";"A18";2;5;;
132;"6A";"LR";"BI";"A18";5;5;;
133;"6A";"PA";"PH";"A18";3;1;;
133;"6A";"PA";"PH";"A18";3;2;;
134;"6A";"PET";"M";"A18";1;5;;
134;"6A";"PET";"M";"A18";3;3;;
134;"6A";"PET";"M";"A18";5;1;;
134;"6A";"PET";"M";"A18";5;2;;
135;"6A";"REN";"SP";"HA4";3;5;;
135;"6A";"REN";"SP";"HA4";3;6;;
136;"6A";"CHD";"REL";"A18";2;3;;
136;"6A";"CHD";"REL";"A18";2;4;;
137;"6B";"GOE";"D";"A16";1;4;;
137;"6B";"GOE";"D";"A16";3;5;;
137;"6B";"GOE";"D";"A16";3;6;;
137;"6B";"GOE";"D";"A16";5;1;;
138;"6B";"MN";"E5";"A16";1;2;;
138;"6B";"MN";"E5";"A16";1;3;;
138;"6B";"MN";"E5";"A16";3;1;;
138;"6B";"MN";"E5";"A16";5;4;;
139;"6B";"WLD";"KU";"A16";2;1;;
139;"6B";"WLD";"KU";"A16";2;2;;
140;"6B";"PB";"MU";"HA6";1;5;;
140;"6B";"PB";"MU";"D12";1;6;;
141;"6B";"HNL";"GE";"A16";4;5;;
141;"6B";"HNL";"GE";"A16";5;5;;
142;"6B";"GB";"BI";"A16";3;3;;
142;"6B";"GB";"BI";"A16";4;6;;
143;"6B";"PA";"PH";"A16";2;3;;
143;"6B";"PA";"PH";"A16";2;4;;
144;"6B";"BG";"M";"A16";2;5;;
144;"6B";"BG";"M";"A16";3;2;;
144;"6B";"BG";"M";"A16";5;2;;
144;"6B";"BG";"M";"A16";5;3;;
145;"6B";"HPT";"SP";"HA3";4;3;;
145;"6B";"HPT";"SP";"HA3";4;4;;
146;"6B";"GOE";"REL";"A16";3;4;;
146;"6B";"GOE";"REL";"A16";5;6;;
147;"6C";"HIL";"D";"A15";1;3;;
147;"6C";"HIL";"D";"A15";1;4;;
147;"6C";"HIL";"D";"A15";3;3;;
147;"6C";"HIL";"D";"A15";4;5;;
148;"6C";"SLT";"E5";"A15";2;4;;
148;"6C";"SLT";"E5";"A15";2;5;;
148;"6C";"SLT";"E5";"A15";3;2;;
148;"6C";"SLT";"E5";"A15";5;3;;
149;"6C";"PB";"MU";"HA6";5;5;;
149;"6C";"PB";"MU";"HA6";5;6;;
150;"6C";"GR";"GE";"A15";2;3;;
151;"6C";"RM";"BI";"A15";3;1;;
151;"6C";"RM";"BI";"A15";5;1;;
152;"6C";"KMP";"PH";"A15";3;6;;
152;"6C";"KMP";"PH";"A15";4;3;;
153;"6C";"RM";"M";"A15";1;2;;
153;"6C";"RM";"M";"A15";3;4;;
153;"6C";"RM";"M";"A15";3;5;;
153;"6C";"RM";"M";"A15";5;2;;
154;"6C";"HPT";"SP";"HA3";2;1;;
154;"6C";"HPT";"SP";"HA3";2;2;;
155;"6C";"LA";"REL";"A15";4;4;;
155;"6C";"LA";"REL";"A15";5;4;;
156;"6D";"HEI";"D";"A17";2;1;;
156;"6D";"HEI";"D";"A17";2;2;;
156;"6D";"HEI";"D";"A17";4;6;;
156;"6D";"HEI";"D";"A17";5;5;;
157;"6D";"GNC";"E5";"A17";1;2;;
157;"6D";"GNC";"E5";"A17";3;3;;
157;"6D";"GNC";"E5";"A17";4;5;;
157;"6D";"GNC";"E5";"A17";5;1;;
158;"6D";"HIL";"KU";"A17";3;5;;
158;"6D";"HIL";"KU";"A17";3;6;;
159;"6D";"LAB";"MU";"HA6";1;6;;
159;"6D";"LAB";"MU";"HA6";5;3;;
160;"6D";"GNC";"GE";"A17";2;5;;
160;"6D";"GNC";"GE";"A17";3;4;;
160;"6D";"STR";;;2;5;;
160;"6D";"STR";;;3;4;;
161;"6D";"LA";"BI";"A17";1;3;;
161;"6D";"LA";"BI";"A17";5;6;;
162;"6D";"WLD";"PH";"A17";1;4;;
162;"6D";"WLD";"PH";"A17";4;3;;
163;"6D";"KAY";"M";"A17";3;1;;
163;"6D";"KAY";"M";"A17";3;2;;
163;"6D";"KAY";"M";"A17";4;4;;
163;"6D";"KAY";"M";"A17";5;4;;
164;"6D";"HPT";"SP";"HA4";2;3;;
