U-Nummer;Klasse;Lehrer;Fach;Raum;Tag;Stunde
108;8A;VZ;AG-Eine-Welt;B04;3;7
285;8A;LOR;SP;HA3;3;3
285;8A;LOR;SP;HA3;3;4
289;8A;PB;D;A36;1;2
289;8A;PB;D;A36;2;2
289;8A;PB;D;A36;4;1
289;8A;PB;D;A36;4;2
293;8A;KER;PH;H02;4;3
293;8A;KER;PH;H02;4;4
297;8A;MOL;CH;H01;1;5
297;8A;MOL;CH;H01;1;6
301;8A;HEI;GE;A36;2;1
301;8A;HEI;GE;A36;4;6
309;8A;PB;MU;HA6;2;3
309;8A;PB;MU;HA6;2;4
313;8A;NTM;M;A36;3;2
313;8A;NTM;M;A36;4;5
313;8A;NTM;M;A36;5;3
317;8A;SUL;E5;A36;3;5
317;8A;SUL;E5;A36;3;6
317;8A;SUL;E5;A36;5;5
322;8A;LAB;Diff-CO;HA6;1;1
322;8A;PB;Diff-MU;D11;1;1
322;8A;AGR;S8;B04;1;1
322;8A;PLU;Diff-BI;H02;1;1
322;8A;AUG;Diff-BI;A22;1;1
322;8A;LIN;Diff-CH;H01;1;1
322;8A;KER;Diff-PH;107PC;1;1
322;8A;RCH;Diff-BI;H03;1;1
322;8A;AL;Diff-EK;A25;1;1
322;8A;GNC;Diff-MU;D12;1;1
322;8A;MEL;Diff-MU;D12;1;1
339;8A;LAB;CO;1010;1;7
339;8A;LAB;CO;1010;1;8
339;Q1;LAB;CO;1010;1;7
339;Q1;LAB;CO;1010;1;8
340;8A;PB;OR;1010;1;8
340;8A;PB;OR;1010;1;9
340;Q1;PB;OR;1010;1;8
340;Q1;PB;OR;1010;1;9
341;8A;KUE;BigB;HA6;1;8
341;8A;KUE;BigB;HA6;1;9
341;Q1;KUE;BigB;HA6;1;8
341;Q1;KUE;BigB;HA6;1;9
349;8A;SCH;ER;A36;1;3
349;8A;SCH;ER;A36;1;4
349;8A;GLH;PP;A33;1;3
349;8A;GLH;PP;A33;1;4
349;8A;GW;KR;B04;1;3
349;8A;GW;KR;B04;1;4
384;8A;HER;AG-Sanit├ñter;B01;5;7
384;8A;HER;AG-Sanit├ñter;B01;5;8
846;8A;KER;AG-LEGO;H06;5;7
846;8A;KER;AG-LEGO;H06;5;8
398;8A;KER;AG-LEGO;107PC;3;7
398;8A;KER;AG-LEGO;107PC;3;8
399;8A;AGR;S8;B04;4;8
399;8A;AGR;S8;B04;4;9
399;8A;PLU;Diff-BI;H02;4;8
399;8A;PLU;Diff-BI;H02;4;9
399;8A;AUG;Diff-BI;A36;4;8
399;8A;AUG;Diff-BI;A36;4;9
399;8A;LIN;Diff-CH;H01;4;8
399;8A;LIN;Diff-CH;H01;4;9
399;8A;RCH;Diff-BI;B01;4;8
399;8A;RCH;Diff-BI;B01;4;9
399;8A;AL;Diff-EK;A18;4;8
399;8A;AL;Diff-EK;A18;4;9
399;8A;GNC;Diff-MU;HA6;4;8
399;8A;GNC;Diff-MU;HA6;4;9
399;8A;MEL;Diff-MU;HA6;4;8
399;8A;MEL;Diff-MU;HA6;4;9
400;Q1;VZ;AG-DELF;A21;4;7
414;8A;FI;AG-Cambridge;B01;3;7
463;8A;PB;FOE8;A36;2;7
464;8A;RCH;AG-SP;HA3;3;8
477;8A;SUL;FF;B07;5;7
477;8A;BOH;OLF;A36;5;7
477;8A;HEI;DF;B05;5;7
477;8A;AGR;EF;B02;5;7
478;8A;SUL;FF;B01;3;1
478;8A;NTM;MF;B04;3;1
478;8A;GR;DF;B05;3;1
478;8A;BOH;OLF;A36;3;1
478;8A;KOE;LF;A35;3;1
479;8A;KAY;PK;A36;5;1
479;8A;KAY;PK;A36;5;2
490;8A;SU;L6;A36;2;5
490;8A;SU;L6;A36;2;6
490;8A;SU;L6;A36;5;6
762;Q1;GB;BI G1;H03;1;2
762;Q1;LIN;CH G1;H01;1;2
762;Q1;WLD;KU G4;A23;1;2
762;Q1;NIK;PL G1;F11;1;2
762;Q1;AL;L  G1;A22;1;2
616;Q1;GB;BI G1;H03;2;5
616;Q1;GB;BI G1;H03;2;6
616;Q1;LIN;CH G1;H01;2;5
616;Q1;LIN;CH G1;H01;2;6
616;Q1;WLD;KU G4;A23;2;5
616;Q1;WLD;KU G4;A23;2;6
616;Q1;NIK;PL G1;F11;2;5
616;Q1;NIK;PL G1;F11;2;6
616;Q1;AL;L  G1;F01;2;5
616;Q1;AL;L  G1;F01;2;6
617;Q1;KRM;BI G2;D11;3;3
617;Q1;KRM;BI G2;D11;3;4
617;Q1;KRM;BI G2;A22;5;6
617;Q1;GA;LI G1;F06;3;3
617;Q1;GA;LI G1;F06;3;4
617;Q1;GA;LI G1;F06;5;6
617;Q1;NIK;PL G3;F11;3;3
617;Q1;NIK;PL G3;F11;3;4
617;Q1;NIK;PL G3;A23;5;6
617;Q1;KER;TC G1;H02;3;3
617;Q1;KER;TC G1;H02;3;4
617;Q1;KER;TC G1;H03;5;6
617;Q1;JAE;S  G1;F02;3;3
617;Q1;JAE;S  G1;F02;3;4
617;Q1;JAE;S  G1;F02;5;6
617;Q1;ALD;E  G2;F07;3;3
617;Q1;ALD;E  G2;F07;3;4
617;Q1;ALD;E  G2;F01;5;6
618;Q1;KRM;BI G3;H03;1;5
618;Q1;KRM;BI G3;H03;1;6
618;Q1;KRM;BI G3;H03;4;3
618;Q1;ALD;E  G1;F09;1;5
618;Q1;ALD;E  G1;F09;1;6
618;Q1;ALD;E  G1;A33;4;3
618;Q1;SCH;ER G1;A22;1;5
618;Q1;SCH;ER G1;A22;1;6
618;Q1;SCH;ER G1;F08;4;3
618;Q1;ZI;KU G1;A21;1;5
618;Q1;ZI;KU G1;A21;1;6
618;Q1;ZI;KU G1;A21;4;3
618;Q1;VZ;SW G2;F11;1;5
618;Q1;VZ;SW G2;F11;1;6
618;Q1;VZ;SW G2;F11;4;3
618;Q1;JAE;S8 G1;F02;1;5
618;Q1;JAE;S8 G1;F02;1;6
618;Q1;JAE;S8 G1;F02;4;3
620;Q1;LIN;BI L1;H01;3;1
620;Q1;LIN;BI L1;H01;3;2
620;Q1;LIN;BI L1;A13;4;5
620;Q1;LIN;BI L1;H01;5;3
620;Q1;LIN;BI L1;H01;5;4
620;Q1;SHZ;D  L1;F06;3;1
620;Q1;SHZ;D  L1;F06;3;2
620;Q1;SHZ;D  L1;F06;4;5
620;Q1;SHZ;D  L1;F06;5;3
620;Q1;SHZ;D  L1;F06;5;4
620;Q1;FI;E  L1;A22;3;1
620;Q1;FI;E  L1;A22;3;2
620;Q1;FI;E  L1;F01;4;5
620;Q1;FI;E  L1;F01;5;3
